"Activo","Nombre","Clase","Pais Sede","Tipo de Activo","Activo /|Cancelado","Codigo","Bolsa / Fuente","Descripción del|tipo valor","Fecha del|Inicio de la Serie","Fecha de la|Ult Cotización","Moneda de las|Cotizaciones","Sector NAICS|ult disponib","Sector|Economatica"
"EDOARDOB<XMEX>","Edoardo","B","MX","Accion","cancelado","EDOARDOB","BMV","-","1992-10-28","2014-04-08","Peso Mexico","Tienda de ropas","Comercio"
"EMVASAB<XMEX>","Embot Valle Anahuac","B","MX","Accion","cancelado","EMVASAB","BMV","-","1993-11-29","2001-03-23","Peso Mexico","Industria de las bebidas","Alimentos y Beb"
"EMPAQB<XMEX>","Empaques Ponderosa","B","MX","Accion","cancelado","EMPAQB","BMV","-","1996-10-28","2005-01-12","Peso Mexico","Fabricación de pulpa, papel y cartón","Papel y Celulosa"
"FERIONIA<XMEX>","Ferrioni","A","MX","Accion","cancelado","FERIONIA","BMV","-","1994-05-30","2000-05-04","Peso Mexico","Tienda de ropas y accesorios de vestir","Comercio"
"FNAIM18<XMEX>","Fnaim","18","MX","Accion","cancelado","FNAIM18","BMV","-","2018-06-08","2019-02-21","Peso Mexico","Bancos","Finanzas y Seguros"
"FOTOLUZB<XMEX>","Fotoluz Corp","B","MX","Accion","cancelado","FOTOLUZB","BMV","-","1994-12-15","1999-08-12","Peso Mexico","Tienda de artículos deportivos e instrumentos musicales","Comercio"
"GACCIONB<XMEX>","Gaccion","B","MX","Accion","cancelado","GACCIONB","BMV","-","1997-07-01","2005-04-18","Peso Mexico","Servicios inmobiliarios","Otros"
"GAMB<XMEX>","Gazucarero Mex","B","MX","Accion","cancelado","GAMB","BMV","-","1997-10-01","2012-10-19","Peso Mexico","Elaboración de azúcares, chocolates, dulces y similares","Alimentos y Beb"
"GCORVIA<XMEX>","Gcorvi","A","MX","Accion","cancelado","GCORVIA","BMV","-","1996-05-08","2007-10-24","Peso Mexico","Comercio al por mayor de productos de tienda de comestibles","Comercio"
"GEPMB<XMEX>","Gemp Priv Mex","B","MX","Accion","cancelado","GEPMB","BMV","-","1998-07-27","1999-11-03","Peso Mexico","Corporativos","Otros"
"GEOC<XMEX>","Geo Corporacion","C","MX","Accion","cancelado","GEOC","BMV","-","-","-","Peso Mexico","Edificación residencial","Construcción"
"GFCRECEA<XMEX>","Gfbancrecer","A","MX","Accion","cancelado","GFCRECEA","BMV","-","1998-02-13","1998-02-23","Peso Mexico","Bancos","Finanzas y Seguros"
"GFCRECEB<XMEX>","Gfbancrecer","B","MX","Accion","cancelado","GFCRECEB","BMV","-","1998-02-09","1998-02-26","Peso Mexico","Bancos","Finanzas y Seguros"
"GFBBB<XMEX>","Gfbbva Bancomer","B","MX","Accion","cancelado","GFBBB","BMV","-","1992-03-17","2004-07-26","Peso Mexico","Bancos","Finanzas y Seguros"
"GFBITALL<XMEX>","Gfbital","L","MX","Accion","cancelado","GFBITALL","BMV","-","1996-01-04","2002-11-21","Peso Mexico","Bancos","Finanzas y Seguros"
"GFBITALO<XMEX>","Gfbital","O","MX","Accion","cancelado","GFBITALO","BMV","-","1995-02-20","2002-11-21","Peso Mexico","Bancos","Finanzas y Seguros"
"GFINTERO<XMEX>","GFinteracciones","O","MX","Accion","cancelado","GFINTERO","BMV","-","1992-12-16","2018-07-13","Peso Mexico","Actividades bursátiles, cambiarias y de inversión financiera","Finanzas y Seguros"
"GFMULTIA<XMEX>","GFMultiva","A","MX","Accion","cancelado","GFMULTIA","BMV","-","1998-07-15","1999-04-23","Peso Mexico","Otros servicios relacionados con la intermediación bursátil","Finanzas y Seguros"
