Activo,Nombre,Clase,Pais Sede,Tipo de Activo,Activo /|Cancelado,Codigo,Bolsa / Fuente,Descripción del|tipo valor,Fecha del|Inicio de la Serie,Fecha de la|Ult Cotización,Moneda de las|Cotizaciones,Sector NAICS|ult disponib,Sector|Economatica
CIEB<XMEX>,Corp Interam de Ent,B,MX,Accion,activo,CIEB,BMV,Acciones,19/12/1995,08/05/2026,Peso Mexico,Parques con instalaciones recreativas y casas de juegos electrónicos,Otros
CMOCTEZ<XMEX>,Corp Moctezuma,*,MX,Accion,activo,CMOCTEZ,BMV,Acciones,15/09/1997,07/05/2026,Peso Mexico,Fabricación de cemento y productos de concreto,Minerales no Met
ACTINVRB<XMEX>,Corporación Actinver,B,MX,Accion,activo,ACTINVRB,BMV,Acciones,06/04/2010,08/05/2026,Peso Mexico,Bancos,Finanzas y Seguros
CADUA<XMEX>,Corpovael,A,MX,Accion,activo,CADUA,BMV,Acciones,04/12/2015,08/05/2026,Peso Mexico,Edificación residencial,Construcción
COXA<BIVA>,Cox Energy América,*,MX,Accion,activo,COXA,BIVA,Acciones,08/07/2020,07/05/2026,Peso Mexico,"Generación, transmisión y suministro de energía eléctrica",Energía Eléctrica
CTAXTELA<XMEX>,Ctaxtel,A,MX,Accion,activo,CTAXTELA,BMV,Acciones,29/05/2023,08/05/2026,Peso Mexico,Operadores de servicios de telecomunicaciones alámbricas,Telecomunicación
CUERVO<XMEX>,Cuervo,*,MX,Accion,activo,CUERVO,BMV,Acciones,08/02/2017,08/05/2026,Peso Mexico,Industria de las bebidas,Alimentos y Beb
CULTIBAB<XMEX>,Cultiba,B,MX,Accion,activo,CULTIBAB,BMV,Acciones,02/01/1992,08/05/2026,Peso Mexico,Industria de las bebidas,Alimentos y Beb
CYDSASAA<XMEX>,Cydsa,A,MX,Accion,activo,CYDSASAA,BMV,Acciones,02/12/1991,08/05/2026,Peso Mexico,Fabricación de otros productos químicos,Química
DIABLOSA<XMEX>,Diablos Rojos,A,MX,Accion,activo,DIABLOSA,BMV,Acciones,-,-,Peso Mexico,Deportistas y equipos deportivos profesionales,Otros
DIABLOSO<XMEX>,Diablos Rojos,O,MX,Accion,activo,DIABLOSO,BMV,Acciones,10/01/2025,07/05/2026,Peso Mexico,Deportistas y equipos deportivos profesionales,Otros
