Activo,Nombre,Clase,Pais Sede,Tipo de Activo,Activo /|Cancelado,Codigo,Bolsa / Fuente,Descripción del|tipo valor,Fecha del|Inicio de la Serie,Fecha de la|Ult Cotización,Moneda de las|Cotizaciones,Sector NAICS|ult disponib,Sector|Economatica
PEPSIGXB<XMEX>,Pepsigx (Gemex),B,MX,Accion,cancelado,PEPSIGXB,BMV,-,18/12/1991,04/05/2001,Peso Mexico,Industria de las bebidas,Alimentos y Beb
PEPSIGXCPO<XMEX>,Pepsigx (Gemex),CPO,MX,Accion,cancelado,PEPSIGXCPO,BMV,-,14/04/1994,22/11/2002,Peso Mexico,Industria de las bebidas,Alimentos y Beb
PERKINSB<XMEX>,Perkins Motores,B,MX,Accion,cancelado,PERKINSB,BMV,-,28/08/1992,17/06/2003,Peso Mexico,"Fabricación de motores de combustión interna, turbinas y transmisiones",Maquinaria Indust
PYPB<XMEX>,Planeacion Y Proyec,B,MX,Accion,cancelado,PYPB,BMV,-,10/06/1994,17/12/2009,Peso Mexico,Construcción pesada y ingeniería civil,Construcción
PLAVICO<XMEX>,Plavico,Ord,MX,Accion,cancelado,PLAVICO,BMV,-,12/11/1998,15/11/1999,Peso Mexico,Fabricación de productos químicos básicos,Química
POSADASL<XMEX>,Posadas Gpo,L,MX,Accion,cancelado,POSADASL,BMV,-,21/12/1992,08/01/2013,Peso Mexico,"Hoteles, moteles y similares",Otros
QBINDUSA<XMEX>,Q.B. Industrias,A,MX,Accion,cancelado,QBINDUSA,BMV,-,03/12/1998,15/10/1999,Peso Mexico,Fabricación de productos químicos básicos,Química
QBINDUSB<XMEX>,Q.B. Industrias,B,MX,Accion,cancelado,QBINDUSB,BMV,-,04/09/1998,15/10/1999,Peso Mexico,Fabricación de productos químicos básicos,Química
QTELB<XMEX>,Qtel,B,MX,Accion,cancelado,QTELB,BMV,-,24/08/1999,25/08/1999,Peso Mexico,Transporte por ferrocarril,Transporte Servic
QAold<XMEX>,Qualitas,A,MX,Accion,cancelado,QAold,BMV,-,-,-,Peso Mexico,Instituciones de seguros,Finanzas y Seguros
QBold<XMEX>,Qualitas,B,MX,Accion,cancelado,QBold,BMV,-,-,-,Peso Mexico,Instituciones de seguros,Finanzas y Seguros
QCPOold<XMEX>,Qualitas,CPO,MX,Accion,cancelado,QCPOold,BMV,-,15/03/2005,11/03/2013,Peso Mexico,Instituciones de seguros,Finanzas y Seguros
REALTURA<XMEX>,Real Turismo,A,MX,Accion,cancelado,REALTURA,BMV,-,-,-,Peso Mexico,"Hoteles, moteles y similares",Otros
REGIOEMB<XMEX>,Regioem B,,MX,Accion,cancelado,REGIOEMB,BMV,-,07/02/1997,24/09/2003,Peso Mexico,"Fabricación de pinturas, recubrimientos y adhesivos",Química
SAB<XMEX>,Saba Casa Grupo,*,MX,Accion,cancelado,SAB,BMV,-,07/12/1993,14/05/2013,Peso Mexico,Servicios de investigación científica y desarrollo,Otros
SAVIAA<XMEX>,Savia,A,MX,Accion,cancelado,SAVIAA,BMV,-,03/12/1991,28/04/2005,Peso Mexico,"Cultivo de semillas oleaginosas, leguminosas y cereales",Agro & Pesca
SEARSB1<XMEX>,Sears Roebuck,B1,MX,Accion,cancelado,SEARSB1,BMV,-,17/03/1992,07/10/1998,Peso Mexico,Grandes almacenes,Comercio
SEGCOAMA<XMEX>,Seguros Com America,A,MX,Accion,cancelado,SEGCOAMA,BMV,-,26/02/1992,06/11/2001,Peso Mexico,Instituciones de seguros,Finanzas y Seguros
