Fecha,ALPEKA,ALSEA,AMXB,ARA,AC,ASURB,AUTLANB,AXTELCPO,BACHOCOB,BIMBOA,BOLSAA,CEMEXCPO,CHDRAUIB,ELEKTRA,FUNO11,FEMSAUBD,GCARSOA1,LABB,GENTERA,GFNORTEO,GFINBURO,GISSAA,GMEXICOB,GAPB,GRUMAB,HERDEZ,HOMEX,ICHB,KIMBERA,LIVEPOLC-1,MEGACPO,MFRISCOA-1,OMAB,ORBIA,PE&OLES,PINFRA,Q,RA,SIGMAFA,SIMECB,SORIANAB,SPORTS,TLEVISACPO,VESTA,WALMEX
2013-05-30,13.338172791,32.395067229,9.0446650209,3.3307143132,67.943711467,99.692972749,7.3146062892,4.53,30.842211254,32.744408641,19.636247464,11.723646082,41.648146452,447.27255645,16.722901864,100.7339572,60.296340159,22.560074746,14.337964822,48.058128978,23.850746004,16.080575305,24.93247882,37.710628599,47.706051124,24.583686412,9.1241335041,86.24743125,22.68397456,124.06520217,22.251265393,51.370829702,24.221452117,37.215715851,390.62436538,88.533542665,23.063938477,48.388044824,16.326525158,54.219596407,42.548915384,17.932151627,57.251282935,16.66093001,25.40731728
2013-05-31,12.86030912,33.141282425,9.0905304622,3.1477080322,69.163108587,101.45845241,7.905089138,4.34,30.585192827,33.050186203,19.35683371,11.83462042,41.815090499,444.68820183,17.438362169,102.41788129,58.039766488,22.676966325,14.324125088,48.925928318,24.365988601,16.080575305,25.303266463,38.183630362,46.432267106,24.226347782,9.5719437375,87.434673865,23.518340022,125.28308151,22.251265393,53.093631918,22.864508021,38.364832691,410.6544313,89.244195131,23.221273872,48.598095532,16.932874786,54.919987335,43.229550865,17.817263309,57.509326578,17.349915837,26.206289521
2013-06-03,13.217394061,33.197248565,8.8887225205,3.0598650174,67.731344553,99.06672713,7.3810356097,4.32,30.552029159,32.849246662,19.404393498,11.335235901,39.196704921,457.41190395,17.815747825,101.71195678,57.910078346,21.933869858,14.192647611,50.882965451,23.634676528,,24.992283278,37.620533025,47.65737148,24.98342115,8.7043114104,85.309126603,22.872379665,124.8993661,22.205256056,52.310540002,23.219401092,37.881681292,405.48401716,89.481079286,22.885148257,48.01249962,16.489341262,55.611039718,43.054793107,17.692800965,57.027645111,17.105639044,25.7616441
2013-06-04,13.327670293,32.339101089,8.8795494323,3.169668786,66.477694704,98.820226195,7.5655615,4.26,30.676392914,32.927875178,18.964465459,11.049873319,38.98582823,454.04469739,18.079131563,99.62359677,57.546951549,21.917171061,14.109609205,51.170236957,24.266264227,16.039343061,25.093950858,37.643056919,47.300387424,25.128779237,8.527053193,86.103813192,22.942358703,123.18098839,21.940702371,51.818310797,23.088925698,37.072076246,405.64479927,88.663446879,22.877996648,47.407808189,16.113179919,55.349560438,43.468693062,17.702374991,56.072883632,17.099375536,25.28920834
2013-06-05,13.059856587,31.303727503,8.8887225205,3.0964662736,65.251447038,97.048084338,7.7869925683,4.19,30.485701823,32.351266061,18.851510963,10.859631597,39.047333931,439.03846307,17.493397577,98.145567322,56.388404147,22.109207227,14.254926416,51.134328019,24.38260933,15.903865686,24.699241431,36.629481714,47.040762656,25.425551997,8.1538779986,81.737824221,22.129525253,120.553372,22.084481548,49.189359364,23.156772903,35.975191989,401.83680194,87.853455897,22.86369343,46.389380516,16.118794267,53.425820021,42.935222009,17.702374991,53.638671933,16.773673145,25.240575247
2013-06-06,13.227896559,32.367084159,9.0721842857,3.1111067761,65.751536868,99.140011192,8.0231857078,4.23,30.634938329,32.438631079,18.928795618,11.010239627,40.295021019,434.86010871,17.253600442,97.858785489,55.774546941,22.484930159,14.607839643,51.086449434,24.582058077,15.809620556,24.603554297,37.051804716,46.878497176,25.69809841,8.2471717972,82.503787199,22.312547355,122.3134579,22.11898855,49.782271815,22.979326368,36.915378495,396.62407672,88.938538156,22.877996648,46.083852214,16.652157366,54.425044413,42.990408669,17.711949018,53.268809378,17.362442852,25.64353516
2013-06-07,13.474705268,31.443642853,9.1088766387,3.01594351,67.107944901,97.84754683,8.1117581351,4.24,30.02141047,32.220218534,19.469788207,11.081580272,39.732683177,447.19710084,17.112080821,97.292575204,54.451727893,22.59347234,15.023031674,49.267063231,23.609745435,15.892085045,23.897861685,36.021336591,45.4667875,24.886515759,8.1165604791,80.397389011,22.016482191,122.10491692,21.572627678,49.648027487,22.874946052,36.438756169,383.27069944,88.71693685,22.885148257,45.778323912,16.511798656,53.14566365,42.797255357,17.644930832,52.864541004,17.043003969,25.28920834
2013-06-10,13.88955395,32.18053036,9.2097806095,2.9281004951,68.149227836,97.1213684,8.0305667434,4.33,29.789264794,33.390909772,19.636247464,11.208408087,40.769493574,467.08908586,17.135667424,97.395522528,56.154965491,22.785508505,15.223707823,50.793193106,23.825814911,15.998110816,23.772272321,37.164424183,46.553966216,24.838063063,7.9766197812,83.039961283,22.904677683,124.28208479,22.044223378,50.688421032,22.191254989,36.366936366,404.09621369,89.458155013,22.885148257,46.153869116,16.95533218,52.940215644,42.953617562,17.893855521,52.615098815,17.086848521,25.191942154
2013-06-11,13.5849815,31.630196652,9.0721842857,2.9281004951,67.258656905,97.601045895,7.6836580697,4.26,30.129192391,32.770618146,19.398448525,10.693170091,40.330167134,454.36538373,17.328291353,95.388049697,56.129027863,22.676966325,14.946913135,48.806231858,22.978157736,15.956878572,22.743635632,36.122694111,46.221321982,24.32930976,8.0232666805,84.686781684,22.856230656,124.46560085,21.049271475,50.039573445,21.335336405,35.922959405,378.87880919,88.938538156,22.885148257,44.766261411,16.927260437,52.314533082,41.012886662,17.807689283,52.709714818,16.654666502,24.844562918
2013-06-12,13.332921542,31.508936683,9.0997035504,2.9354207463,67.655988551,93.423854375,7.3588925029,4.17,29.847301213,32.517259595,19.416283445,10.495001631,39.811761936,461.56196247,17.092425318,96.093974209,54.92725108,22.042412039,14.843115127,46.723513441,22.728846802,15.903865686,22.10970837,34.692426878,45.961697214,23.329972914,8.3684537354,82.18782747,22.915443689,123.6481202,20.663943281,48.43982853,20.802996798,34.643261106,371.03433471,89.297685101,22.956664345,44.696244509,16.612856927,52.68807491,41.206039974,17.903429548,51.88397516,16.642139487,25.011304951
2013-06-13,13.453700272,31.751456621,9.0079726679,2.9500612488,67.477874365,91.61840158,7.26293904,4.24,29.68977379,32.604624612,19.535182915,10.653536399,39.794188878,465.10837611,16.986285602,94.814486031,54.745687681,22.526677152,14.683958182,46.280636536,22.969847371,15.791949594,22.067845249,33.904090607,46.140189242,23.342086088,8.5457119528,82.494212661,22.888528674,125.35815627,20.68694795,49.323603693,21.262270184,35.132941578,380.95205218,89.290043677,22.913754692,44.715340028,16.629699972,53.780684758,41.610742152,17.865133442,51.763554793,17.49397651,25.212784908
2013-06-14,13.091364082,31.341038263,9.0354919326,2.9427409976,67.53267873,95.275942481,7.1965097195,4.29,29.640028288,31.870758463,19.380613604,10.558415538,39.609671774,453.66741934,16.569588941,94.299749407,54.028079962,22.618520535,14.850034994,45.161474629,23.13605466,16.045233381,22.163532383,33.12138531,46.253775078,23.342086088,7.9393022618,79.995258448,22.414824411,124.54067561,20.594929276,48.585259886,20.693397467,35.106825286,372.70985353,89.633907773,22.885148257,43.824215814,16.360211249,52.249163262,42.438542062,17.845985389,51.806562067,16.830044713,25.150256646
2013-06-17,13.028349092,29.74600328,9.0905304622,2.9573815001,67.655988551,94.65635905,7.166985577,4.46,29.847301213,31.896967969,19.535182915,10.479148154,39.574525659,460.6281993,16.526346835,95.998380265,54.149122228,22.184351813,14.649358846,46.645710742,23.60143507,16.039343061,22.612065823,33.10449239,46.245661804,23.626745674,7.7807028041,80.119727432,22.73780459,124.7075084,20.169342913,49.502596131,20.917815144,34.943598462,376.52631307,92.056239296,22.885148257,42.487529492,16.174937751,51.997022527,42.466135393,17.845985389,52.520482813,17.024213446,25.240575247
2013-06-18,13.138625324,29.85793556,9.1822613447,2.9573815001,67.217553631,93.883545307,7.1522235058,4.28,29.474209948,31.364041361,19.606522597,10.756583998,40.14565003,452.10171545,16.231514291,94.821839411,53.760057802,22.176002415,14.545560838,45.335034497,24.100056938,15.921536648,22.510398243,33.160802123,46.270001626,23.366312436,7.5474683076,78.290990823,22.43097342,123.48128741,19.950798565,48.506950694,20.526388963,34.160109707,365.35618759,92.873871703,22.992422389,42.672119508,16.225466887,51.31530869,42.420146509,17.798115256,52.632301725,16.767409638,25.323946263
2013-06-19,13.059856587,29.69003714,9.1088766387,2.9427409976,67.792999463,92.071430326,7.0193648648,4.2,29.706355624,30.595229205,19.333053816,10.962679196,39.583312187,435.46375358,16.015303759,94.910079975,50.92421043,21.733484294,14.199567478,44.19791812,23.028019922,15.833181839,22.235297734,32.738479121,46.164529064,23.753934,7.2395987722,77.266515341,22.12414225,123.73153659,21.296571659,44.983037072,20.448103727,33.650842017,353.40753821,93.217735799,22.885148257,43.652356144,15.815619453,50.904412679,41.951059893,17.702374991,53.251606468,16.61082195,25.004357367
2013-06-20,13.170132819,28.085674467,8.8612032558,2.7524144654,63.94984337,89.113419105,6.1557836985,4.01,28.636827331,29.808944045,18.720721546,10.558415538,39.064906989,399.90529767,15.732264517,91.336337133,49.903997046,20.230592564,13.902013189,42.001488066,21.847948169,15.632910937,20.961462764,32.226060545,45.937357392,23.015030393,6.6798359805,72.96754813,20.762242496,115.54004674,20.819224792,40.015996917,20.959567271,33.722661819,315.20063174,90.184090328,22.663448383,42.519355357,15.226112871,48.467052248,40.930106671,17.683226938,51.875373705,16.228747991,24.073381016
2013-06-21,13.359177787,27.51668538,8.9162417853,3.0305840124,63.984096098,91.724996579,6.2295940546,4.21,29.076245932,31.075736802,18.595877102,10.415734247,39.020974345,402.06521449,16.062476966,90.056848955,51.477546502,21.349411963,14.151128408,43.210422319,23.069571745,15.668252861,21.24254372,32.901777349,47.98190244,23.838726217,6.5492246625,75.131393541,22.414824411,118.91006904,20.554671107,43.260234856,19.827040852,34.832604222,346.56160525,89.404665043,22.041258415,44.352525169,16.090722525,48.579114797,40.111504537,17.606634726,51.419496603,16.297646573,24.288756142
2013-06-24,13.185886566,26.817108633,8.9254148735,3.1330675298,65.566572137,89.926205972,6.0007819507,4.15,28.61195458,30.263242137,18.393748003,10.146225142,37.817219901,396.21740476,15.637918103,89.409751485,48.805970777,21.658339708,13.978131728,42.599970369,22.512777326,15.149904646,21.099013019,31.876940197,47.430199808,23.517727109,6.1853788479,72.823930072,21.67197,115.0645733,20.462652434,40.843836943,19.81660282,34.23192951,334.19830727,89.19070516,21.783800497,43.079490578,15.692103788,48.018802054,40.194284528,17.587486673,50.869003497,15.827883509,23.760739704
